file,category,time_taken,num_instantiations,post_match_instantiations,post_match_dedup_skipped,total_ematching_ms,classic_match_ms,datalog_find_assignments_ms,dl_precheck_ms,dl_var_index_build_ms,dl_join_order_ms,dl_init_binding_ms,dl_get_candidates_ms,dl_try_extend_binding_ms,dl_dedup_ms,dl_extract_assignments_ms,dl_evaluate_multipattern_ms,post_dedup_check_ms,post_substitution_ms,post_let_elim_ms,post_nnf_ms,post_insert_predecessor_ms,post_cnf_tseitin_ms,post_bool_check_ms,post_clause_assembly_ms
explosion_k3_d2_f2_n2_rd50_br0.smt2,unsat,0.0329,,51,0,2.2380,0.0000,1.1790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d2_f2_n16_rd50_br0.smt2,unsat,0.0648,,93,0,25.9190,0.0000,23.9310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k2_d3_f1_rd50_br2.smt2,unsat,0.0807,,21,11,2.9400,0.0000,1.4530,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k2_d3_f1_rd50_br4.smt2,unsat,0.1128,,45,59,3.8000,0.0000,1.6420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d2_f2_n2_rd50_br2.smt2,unsat,0.1149,,100,50,8.4240,0.0000,4.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k2_d3_f1_rd50_br0.smt2,unsat,0.1150,,12,0,0.3830,0.0000,0.1840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k2_d1_f1_rd50_br4.smt2,unsat,0.1299,,35,41,5.9340,0.0000,2.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d1_f3_rd50_br0.smt2,unsat,0.1260,,123,0,6.0970,0.0000,2.0870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d1_f3_rd50_br2.smt2,unsat,0.1345,,344,122,15.6700,0.0000,3.4920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d3_f3_rd50_br0.smt2,unsat,0.1239,,129,0,5.4730,0.0000,1.1050,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k5_d2_f2_n2_rd50_br0.smt2,unsat,0.1251,,175,0,7.5290,0.0000,2.0470,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k2_d1_f1_rd50_br0.smt2,unsat,0.1281,,8,0,0.5330,0.0000,0.3290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k2_d1_f1_rd50_br2.smt2,unsat,0.1434,,15,7,1.0850,0.0000,0.3660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k5_d2_f2_n2_rd50_br2.smt2,unsat,0.1581,,282,174,13.2730,0.0000,4.7230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d3_f3_rd50_br2.smt2,unsat,0.1610,,352,128,16.3670,0.0000,2.7190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d2_f2_n2_rd500_br0.smt2,unsat,0.1811,,51,0,2.1190,0.0000,1.1370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k2_d1_f1_rd50_br8.smt2,unsat,0.1765,,99,245,7.0450,0.0000,2.8230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k8_d2_f2_rd50_br0.smt2,unsat,0.1752,,600,0,25.2170,0.0000,2.1140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k2_d3_f1_rd50_br8.smt2,unsat,0.1856,,117,315,10.3930,0.0000,4.9640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d2_f2_n2_rd50_br4.smt2,unsat,0.1928,,282,320,14.2620,0.0000,6.0480,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d2_f2_n16_rd50_br2.smt2,unsat,0.2115,,156,92,59.5500,0.0000,55.5860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k2_d1_f1_rd500_br0.smt2,unsat,0.2180,,8,0,0.3090,0.0000,0.1510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k5_d2_f2_n2_rd500_br0.smt2,unsat,0.2230,,175,0,5.6140,0.0000,1.5810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k5_d2_f2_n2_rd50_br4.smt2,unsat,0.2163,,616,878,29.3360,0.0000,9.2660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k2_d3_f1_rd500_br0.smt2,unsat,0.2283,,12,0,0.4480,0.0000,0.2080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d1_f3_rd500_br0.smt2,unsat,0.2338,,123,0,3.9800,0.0000,0.9820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d1_f3_rd500_br2.smt2,unsat,0.2465,,344,122,16.4270,0.0000,2.6850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d3_f3_rd500_br0.smt2,unsat,0.2383,,129,0,4.3170,0.0000,1.1230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k8_d2_f2_rd50_br2.smt2,unsat,0.2356,,837,599,38.5700,0.0000,4.4180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d2_f2_n2_rd500_br2.smt2,unsat,0.2545,,100,50,5.3810,0.0000,2.3950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k2_d3_f1_rd500_br2.smt2,unsat,0.2776,,21,11,1.8630,0.0000,0.5240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k2_d1_f1_rd500_br2.smt2,unsat,0.2820,,15,7,1.6380,0.0000,0.4490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d2_f2_n16_rd500_br0.smt2,unsat,0.2846,,93,0,27.9900,0.0000,25.8830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k8_d2_f2_rd500_br0.smt2,unsat,0.2890,,600,0,23.0010,0.0000,1.7840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d2_f2_n16_rd500_br2.smt2,unsat,0.3085,,156,92,57.6700,0.0000,52.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d3_f3_rd50_br4.smt2,unsat,0.3117,,1572,1270,144.0380,0.0000,10.7620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k2_d1_f1_rd500_br4.smt2,unsat,0.3068,,35,41,3.1100,0.0000,0.9450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d2_f2_n16_rd50_br4.smt2,unsat,0.3082,,366,488,128.4790,0.0000,118.2310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d2_f2_n2_rd500_br4.smt2,unsat,0.3304,,282,320,16.6050,0.0000,6.3320,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k2_d3_f1_rd500_br4.smt2,unsat,0.3208,,45,59,4.0000,0.0000,1.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
explosion_k3_d3_f3_rd500_br2.smt2,unsat,0.3210,,352,128,16.2320,0.0000,2.6550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
